year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
1988,1,5.7,13.1,-0.3,8.3,3.1,118.3,-10,12.2,54,68.6
1988,2,5.1,11.3,-1,7.9,2.3,34.3,-4,12.8,73,81.8
1988,3,7,13.2,-1.4,10.2,3.7,85.4,-4.9,11.5,54,101.1
1988,4,8.8,16.8,-0.2,12.2,5.5,24.9,-3.4,6.3,30,158.4
1988,5,11.2,19,3.4,15,7.4,72.5,0.9,8.2,43,195.7
1988,6,14.4,23.5,6,18.3,10.5,38.1,2.2,5.9,30,173.2
1988,7,14.2,20.6,8.5,17.8,10.6,80.3,5.8,11.4,54,135.5
1988,8,14.5,22.4,8.5,18.3,10.7,54.5,3.8,10,49,135.4
1988,9,12.6,20.7,2.5,16,9.2,41.1,0,10.5,49,120.8
1988,10,10.5,17,1.8,13.5,7.6,79.1,-4.7,10.5,53,97.4
1988,11,7,14.1,-2.7,10.2,3.8,23.5,-6.9,7.4,38,85.1
1988,12,8.3,13.6,1,10.5,6.1,40.5,-2,12.4,48,55
1989,1,7.6,13.1,0.4,10.2,4.9,27.5,-3.5,12.4,54,70.3
1989,2,6.4,13.2,-1.5,9.6,3.2,42.6,-5.5,14.4,58,95.2
